PeakID (cmd=annotatePeaks.pl /home/merk/data/ChIP_DAP/peaks/master_peaks_overlapped.bed /home/merk/data/genomes/ncbi-genomes-2022-03-15/TAIR10.fasta -gtf /home/merk/data/genomes/TAIR10_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
PLT3_MK_DAP_peak_890	chr3	7116365	7116365	+	9.58928	NA	exon (AT3G20410.1, exon 1 of 8)	-exon (AT3G20410.1, exon 1 of 8)	164	AT3G20410.1	AT3G20410	AT3G20410						NA
PLT7_ampDAP_peak_1086	chr3	8780496	8780496	+	9.55754	NA	promoter-TSS (AT3G24240.1)	-promoter-TSS (AT3G24240.1)	72	AT3G24240.1	AT3G24240	AT3G24240						NA
PLT7_DAP_peak_461	chr4	4739339	4739339	+	9.55573	NA	exon (AT4G07934.1, exon 1 of 1)	-exon (AT4G07934.1, exon 1 of 1)	1824	AT4G07934.1	AT4G07934	AT4G07934						NA
PLT7_DAP_peak_615	chr5	15998754	15998754	+	9.55573	NA	exon (AT5G39970.1, exon 3 of 7)	-exon (AT5G39970.1, exon 3 of 7)	729	AT5G39970.1	AT5G39970	AT5G39970						NA
PLT1_ampDAP_peak_86	chr3	19996735	19996735	+	9.55215	NA	exon (AT3G54000.1, exon 1 of 5)	-exon (AT3G54000.1, exon 1 of 5)	128	AT3G54000.2	AT3G54000	AT3G54000						NA
PLT1_DAP_peak_72	chr2	2742885	2742885	+	9.55079	NA	exon (AT2G06830.1, exon 1 of 1)	-exon (AT2G06830.1, exon 1 of 1)	553	AT2G06830.1	AT2G06830	AT2G06830						NA
PLT3_MK_DAP_peak_841	chr3	3300943	3300943	+	9.37921	NA	exon (AT3G10560.1, exon 1 of 1)	-exon (AT3G10560.1, exon 1 of 1)	1050	AT3G10560.1	AT3G10560	AT3G10560						NA
PLT3_MK_DAP_peak_318	chr1	18954755	18954755	+	9.37921	NA	exon (AT1G51170.1, exon 1 of 1)	-exon (AT1G51170.1, exon 1 of 1)	137	AT1G51170.1	AT1G51170	AT1G51170						NA
35S_BBM_GFP_ChIP_peak_8795	chr3	823881	823881	+	9.36686	NA	TTS (AT3G03470.1)	-TTS (AT3G03470.1)	665	AT3G03460.1	AT3G03460	AT3G03460						NA
PLT3_DAP_peak_58	chr1	17262255	17262255	+	9.35165	NA	TTS (AT1G46624.1)	-TTS (AT1G46624.1)	1928	AT1G46696.1	AT1G46696	AT1G46696						NA
PLT3_DAP_peak_136	chr2	3561964	3561964	+	9.32611	NA	promoter-TSS (AT2G07791.1)	-promoter-TSS (AT2G07791.1)	-344	AT2G07791.1	AT2G07791	AT2G07791						NA
PLT3_DAP_peak_204	chr2	17866825	17866825	+	9.32611	NA	TTS (AT2G42950.1)	-TTS (AT2G42950.1)	747	AT2G42955.1	AT2G42955	AT2G42955						NA
35S_BBM_GFP_ChIP_peak_5763	chr2	2321538	2321538	+	9.30689	NA	promoter-TSS (AT2G05990.1)	-promoter-TSS (AT2G05990.1)	-684	AT2G05990.2	AT2G05990	AT2G05990						NA
35S_BBM_GFP_ChIP_peak_12523	chr4	49815	49815	+	9.26935	NA	TTS (AT4G00130.1)	-TTS (AT4G00130.1)	1549	AT4G00130.1	AT4G00130	AT4G00130						NA
PLT7_DAP_peak_288	chr3	2136505	2136505	+	9.19943	NA	exon (AT3G06770.1, exon 2 of 6)	-exon (AT3G06770.1, exon 2 of 6)	407	AT3G06770.3	AT3G06770	AT3G06770						NA
PLT3_MK_DAP_peak_1376	chr4	7439317	7439317	+	9.18544	NA	exon (AT4G12550.1, exon 1 of 1)	-exon (AT4G12550.1, exon 1 of 1)	202	AT4G12550.1	AT4G12550	AT4G12550						NA
PLT3_MK_DAP_peak_1239	chr4	1859033	1859033	+	9.18544	NA	exon (AT4G03920.1, exon 1 of 1)	-exon (AT4G03920.1, exon 1 of 1)	3316	AT4G03920.1	AT4G03920	AT4G03920						NA
PLT3_MK_DAP_peak_1020	chr3	14039222	14039222	+	9.18544	NA	promoter-TSS (AT3G33393.1)	-promoter-TSS (AT3G33393.1)	862	AT3G33494.1	AT3G33494	AT3G33494						NA
PLT3_MK_DAP_peak_1660	chr5	7360659	7360659	+	9.18544	NA	TTS (AT5G22210.1)	-TTS (AT5G22210.1)	124	AT5G22220.2	AT5G22220	AT5G22220						NA
35S_BBM_GFP_ChIP_peak_5874	chr2	5520332	5520332	+	9.16335	NA	promoter-TSS (AT2G13300.1)	-promoter-TSS (AT2G13300.1)	-251	AT2G13300.1	AT2G13300	AT2G13300						NA
PLT3_DAP_peak_331	chr4	3397903	3397903	+	9.15372	NA	exon (AT4G06546.1, exon 1 of 1)	-exon (AT4G06546.1, exon 1 of 1)	5101	AT4G06623.1	AT4G06623	AT4G06623						NA
35S_BBM_GFP_ChIP_peak_11004	chr3	15613950	15613950	+	9.14254	NA	Intergenic	Intergenic	3199	AT3G43720.1	AT3G43720	AT3G43720						NA
2_262970_262971	chr2	262971	262971	+	9.14	NA	Intergenic	Intergenic	2934	AT2G01580.1	AT2G01580	AT2G01580						NA
PLT3_MK_DAP_peak_484	chr2	801633	801633	+	9.1341	NA	exon (AT2G02810.1, exon 1 of 7)	-exon (AT2G02810.1, exon 1 of 7)	103	AT2G02810.1	AT2G02810	AT2G02810						NA
PLT3_MK_DAP_peak_781	chr2	18034732	18034732	+	9.1341	NA	TTS (AT2G43430.1)	-TTS (AT2G43430.1)	366	AT2G43420.1	AT2G43420	AT2G43420						NA
PLT3_MK_DAP_peak_1217	chr4	1370056	1370056	+	9.1341	NA	intron (AT4G03090.2, intron 5 of 15)	-intron (AT4G03090.1, intron 4 of 14)	1159	AT4G03090.1	AT4G03090	AT4G03090						NA
PLT3_MK_DAP_peak_1940	chr5	22711886	22711886	+	9.1176	NA	exon (AT5G56080.1, exon 1 of 1)	-exon (AT5G56080.1, exon 1 of 1)	478	AT5G56080.1	AT5G56080	AT5G56080						NA
PLT3_DAP_peak_151	chr2	4815705	4815705	+	9.0918	NA	exon (AT2G11940.1, exon 1 of 1)	-exon (AT2G11940.1, exon 1 of 1)	2437	AT2G11940.1	AT2G11940	AT2G11940						NA
PLT3_DAP_peak_139	chr2	3961001	3961001	+	9.04641	NA	exon (AT2G10300.1, exon 1 of 1)	-exon (AT2G10300.1, exon 1 of 1)	1587	AT2G10300.1	AT2G10300	AT2G10300						NA
PLT3_DAP_peak_88	chr1	24667674	24667674	+	9.04641	NA	exon (AT1G66210.1, exon 4 of 8)	-exon (AT1G66210.1, exon 4 of 8)	1109	AT1G66210.1	AT1G66210	AT1G66210						NA
PLT3_DAP_peak_49	chr1	16274484	16274484	+	9.04641	NA	TTS (AT1G43190.1)	-TTS (AT1G43190.1)	-1686	AT1G43180.1	AT1G43180	AT1G43180						NA
PLT3_MK_DAP_peak_105	chr1	6598319	6598319	+	9.01862	NA	intron (AT1G19100.1, intron 11 of 19)	-intron (AT1G19100.1, intron 11 of 19)	3389	AT1G19100.1	AT1G19100	AT1G19100						NA
35S_BBM_GFP_ChIP_peak_11780	chr3	19823492	19823492	+	9.0144	NA	TTS (AT3G53470.1)	-TTS (AT3G53470.1)	747	AT3G53470.2	AT3G53470	AT3G53470						NA
PLT7_DAP_peak_612	chr5	15357038	15357038	+	8.88838	NA	exon (AT5G38383.1, exon 1 of 1)	-exon (AT5G38383.1, exon 1 of 1)	5662	AT5G38383.1	AT5G38383	AT5G38383						NA
PLT1_ampDAP_peak_22	chr1	21194877	21194877	+	8.87764	NA	promoter-TSS (AT1G56570.1)	-promoter-TSS (AT1G56570.1)	-927	AT1G56570.1	AT1G56570	AT1G56570						NA
35S_BBM_GFP_ChIP_peak_3682	chr1	22447081	22447081	+	8.84663	NA	TTS (AT1G60970.1)	-TTS (AT1G60970.1)	133	AT1G60960.1	AT1G60960	AT1G60960						NA
PLT3_MK_DAP_peak_625	chr2	6320278	6320278	+	8.83503	NA	Intergenic	Intergenic	3034	AT2G14760.2	AT2G14760	AT2G14760						NA
PLT7_DAP_peak_625	chr5	18329611	18329611	+	8.82701	NA	exon (AT5G45260.1, exon 5 of 7)	-exon (AT5G45260.1, exon 5 of 7)	3408	AT5G45260.2	AT5G45260	AT5G45260						NA
PLT1_DAP_peak_89	chr2	5829711	5829711	+	8.81649	NA	exon (AT2G13895.1, exon 1 of 2)	-exon (AT2G13895.1, exon 1 of 2)	226	AT2G13895.1	AT2G13895	AT2G13895						NA
PLT1_ampDAP_peak_87	chr3	21406804	21406804	+	8.78356	NA	TTS (AT3G57800.1)	-TTS (AT3G57800.1)	820	AT3G57790.1	AT3G57790	AT3G57790						NA
PLT3_MK_DAP_peak_694	chr2	9878840	9878840	+	8.78324	NA	promoter-TSS (AT2G23200.1)	-promoter-TSS (AT2G23200.1)	-436	AT2G23200.1	AT2G23200	AT2G23200						NA
35S_BBM_GFP_ChIP_peak_18852	chr5	21405353	21405353	+	8.75676	NA	TTS (AT5G52820.1)	-TTS (AT5G52820.1)	4004	AT5G52820.1	AT5G52820	AT5G52820						NA
35S_BBM_GFP_ChIP_peak_12509	chr3	23425154	23425154	+	8.68136	NA	exon (AT3G63440.1, exon 2 of 5)	-exon (AT3G63440.1, exon 2 of 5)	997	AT3G63440.1	AT3G63440	AT3G63440						NA
2_19466491_19466492	chr2	19466492	19466492	+	8.67	NA	Intergenic	Intergenic	-2405	AT2G47430.1	AT2G47430	AT2G47430						NA
1_5149153_5149154	chr1	5149154	5149154	+	8.67	NA	promoter-TSS (AT1G14920.1)	-promoter-TSS (AT1G14920.1)	-72	AT1G14920.1	AT1G14920	AT1G14920						NA
2_18839384_18839385	chr2	18839385	18839385	+	8.67	NA	promoter-TSS (AT2G45730.1)	-promoter-TSS (AT2G45730.1)	-201	AT2G45740.2	AT2G45740	AT2G45740						NA
1_26536153_26536154	chr1	26536154	26536154	+	8.67	NA	exon (AT1G70410.1, exon 2 of 8)	-exon (AT1G70410.1, exon 2 of 8)	517	AT1G70410.1	AT1G70410	AT1G70410						NA
PLT1_DAP_peak_249	chr5	12755407	12755407	+	8.64993	NA	promoter-TSS (AT5G33438.1)	-promoter-TSS (AT5G33438.1)	-234	AT5G33442.1	AT5G33442	AT5G33442						NA
PLT1_DAP_peak_195	chr4	3582889	3582889	+	8.64993	NA	exon (AT4G06584.1, exon 1 of 1)	-exon (AT4G06584.1, exon 1 of 1)	336	AT4G06584.1	AT4G06584	AT4G06584						NA
PLT1_DAP_peak_275	chr5	25184431	25184431	+	8.64993	NA	promoter-TSS (AT5G62700.1)	-promoter-TSS (AT5G62700.1)	34	AT5G62700.1	AT5G62700	AT5G62700						NA
PLT7_DAP_peak_576	chr5	11067997	11067997	+	8.64149	NA	promoter-TSS (AT5G29030.1)	-promoter-TSS (AT5G29030.1)	-261	AT5G29030.1	AT5G29030	AT5G29030						NA
35S_BBM_GFP_ChIP_peak_15458	chr4	18381790	18381790	+	8.63999	NA	TTS (AT4G39560.1)	-TTS (AT4G39560.1)	115	AT4G39550.1	AT4G39550	AT4G39550						NA
PLT3_DAP_peak_470	chr5	16658101	16658101	+	8.63623	NA	exon (AT5G41660.1, exon 2 of 2)	-exon (AT5G41660.1, exon 2 of 2)	1393	AT5G41660.1	AT5G41660	AT5G41660						NA
PLT3_DAP_peak_386	chr4	15156038	15156038	+	8.62131	NA	promoter-TSS (AT4G31170.1)	-promoter-TSS (AT4G31170.1)	128	AT4G31180.2	AT4G31180	AT4G31180						NA
PLT3_MK_DAP_peak_102	chr1	6397110	6397110	+	8.61267	NA	exon (AT1G18580.1, exon 2 of 2)	-exon (AT1G18580.1, exon 2 of 2)	1246	AT1G18580.1	AT1G18580	AT1G18580						NA
35S_BBM_GFP_ChIP_peak_10151	chr3	7566201	7566201	+	8.6024	NA	Intergenic	Intergenic	1264	AT3G21475.1	AT3G21475	AT3G21475						NA
PLT3_DAP_peak_18	chr1	7582865	7582865	+	8.5644	NA	exon (AT1G21630.1, exon 2 of 13)	-exon (AT1G21630.1, exon 2 of 13)	1713	AT1G21630.1	AT1G21630	AT1G21630						NA
PLT3_DAP_peak_65	chr1	18862793	18862793	+	8.5644	NA	TTS (AT1G50880.1)	-TTS (AT1G50880.1)	1956	AT1G50880.1	AT1G50880	AT1G50880						NA
PLT3_DAP_peak_348	chr4	5608909	5608909	+	8.5644	NA	TTS (AT4G08780.1)	-TTS (AT4G08780.1)	2306	AT4G08790.1	AT4G08790	AT4G08790						NA
PLT3_MK_DAP_peak_553	chr2	4362229	4362229	+	8.55694	NA	intron (AT2G11010.1, intron 1 of 8)	-intron (AT2G11010.1, intron 1 of 8)	360	AT2G11010.1	AT2G11010	AT2G11010						NA
PLT1_DAP_peak_253	chr5	13373367	13373367	+	8.52627	NA	TTS (AT5G35113.1)	-TTS (AT5G35113.1)	4872	AT5G35113.1	AT5G35113	AT5G35113						NA
PLT3_MK_DAP_peak_87	chr1	5473829	5473829	+	8.44574	NA	TTS (AT1G15930.1)	-TTS (AT1G15930.1)	264	AT1G15940.1	AT1G15940	AT1G15940						NA
2_16776201_16776202	chr2	16776202	16776202	+	8.44	NA	intron (AT2G40150.1, intron 2 of 4)	-intron (AT2G40150.1, intron 2 of 4)	760	AT2G40150.1	AT2G40150	AT2G40150						NA
1_7906965_7906966	chr1	7906966	7906966	+	8.43	NA	promoter-TSS (AT1G22400.1)	-promoter-TSS (AT1G22400.1)	-293	AT1G22400.1	AT1G22400	AT1G22400						NA
1_11600377_11600378	chr1	11600378	11600378	+	8.43	NA	Intergenic	Intergenic	-4396	AT1G32190.2	AT1G32190	AT1G32190						NA
PLT3_MK_DAP_peak_1274	chr4	3002750	3002750	+	8.4145	NA	TTS (AT4G05632.1)	-TTS (AT4G05632.1)	1086	AT4G05632.1	AT4G05632	AT4G05632						NA
PLT3_MK_DAP_peak_1867	chr5	17115025	17115025	+	8.4145	NA	exon (AT5G42680.1, exon 1 of 1)	-exon (AT5G42680.1, exon 1 of 1)	429	AT5G42680.1	AT5G42680	AT5G42680						NA
35S_BBM_GFP_ChIP_peak_19118	chr5	22561662	22561662	+	8.35912	NA	TTS (AT5G55740.1)	-TTS (AT5G55740.1)	-1201	AT5G55730.2	AT5G55730	AT5G55730						NA
35S_BBM_GFP_ChIP_peak_15066	chr4	16959401	16959401	+	8.34736	NA	exon (AT4G35790.1, exon 1 of 10)	-exon (AT4G35790.1, exon 1 of 10)	769	AT4G35790.3	AT4G35790	AT4G35790						NA
PLT1_DAP_peak_193	chr4	2998589	2998589	+	8.3435	NA	exon (AT4G05635.1, exon 1 of 1)	-exon (AT4G05635.1, exon 1 of 1)	-3075	AT4G05632.1	AT4G05632	AT4G05632						NA
PLT1_DAP_peak_108	chr2	15264464	15264464	+	8.3435	NA	TTS (AT2G36380.1)	-TTS (AT2G36380.1)	227	AT2G36390.1	AT2G36390	AT2G36390						NA
PLT1_DAP_peak_126	chr3	3040033	3040033	+	8.3435	NA	TTS (AT3G09920.1)	-TTS (AT3G09920.1)	153	AT3G09915.1	AT3G09915	AT3G09915						NA
PLT1_DAP_peak_176	chr3	16812450	16812450	+	8.3435	NA	exon (AT3G45775.1, exon 1 of 1)	-exon (AT3G45775.1, exon 1 of 1)	1421	AT3G45775.1	AT3G45775	AT3G45775						NA
PLT1_DAP_peak_250	chr5	12784346	12784346	+	8.33209	NA	promoter-TSS (AT5G33806.1)	-promoter-TSS (AT5G33806.1)	-493	AT5G33806.1	AT5G33806	AT5G33806						NA
2_18580378_18580379	chr2	18580379	18580379	+	8.3	NA	Intergenic	Intergenic	-2493	AT2G45050.1	AT2G45050	AT2G45050						NA
1_28460171_28460172	chr1	28460172	28460172	+	8.3	NA	intron (AT1G75800.1, intron 2 of 2)	-intron (AT1G75800.1, intron 2 of 2)	1390	AT1G75800.1	AT1G75800	AT1G75800						NA
PLT1_DAP_peak_276	chr5	26360176	26360176	+	8.28118	NA	exon (AT5G65900.1, exon 7 of 12)	-exon (AT5G65900.1, exon 7 of 12)	1970	AT5G65900.1	AT5G65900	AT5G65900						NA
PLT3_DAP_peak_110	chr1	30221859	30221859	+	8.27277	NA	TTS (AT1G80390.1)	-TTS (AT1G80390.1)	843	AT1G80390.1	AT1G80390	AT1G80390						NA
PLT3_DAP_peak_37	chr1	13166598	13166598	+	8.27277	NA	Intergenic	Intergenic	-2086	AT1G35630.1	AT1G35630	AT1G35630						NA
PLT3_DAP_peak_24	chr1	10686200	10686200	+	8.27277	NA	exon (AT1G30330.1, exon 14 of 14)	-exon (AT1G30330.1, exon 14 of 14)	4638	AT1G30330.2	AT1G30330	AT1G30330						NA
PLT3_MK_DAP_peak_1528	chr4	18271182	18271182	+	8.22823	NA	promoter-TSS (AT4G39240.1)	-promoter-TSS (AT4G39240.1)	-395	AT4G39240.1	AT4G39240	AT4G39240						NA
PLT3_MK_DAP_peak_1842	chr5	14843284	14843284	+	8.22823	NA	exon (AT5G37430.1, exon 1 of 2)	-exon (AT5G37430.1, exon 1 of 2)	854	AT5G37430.1	AT5G37430	AT5G37430						NA
PLT3_MK_DAP_peak_1744	chr5	11459658	11459658	+	8.22823	NA	promoter-TSS (AT5G32169.1)	-promoter-TSS (AT5G32169.1)	-783	AT5G32169.1	AT5G32169	AT5G32169						NA
PLT3_MK_DAP_peak_1819	chr5	13476588	13476588	+	8.22823	NA	exon (AT5G35210.1, exon 10 of 17)	-exon (AT5G35210.1, exon 10 of 17)	-4106	AT5G35207.1	AT5G35207	AT5G35207						NA
PLT3_MK_DAP_peak_994	chr3	13250282	13250282	+	8.22823	NA	exon (AT3G32300.1, exon 1 of 1)	-exon (AT3G32300.1, exon 1 of 1)	843	AT3G32300.1	AT3G32300	AT3G32300						NA
PLT3_MK_DAP_peak_1570	chr5	1354535	1354535	+	8.22823	NA	exon (AT5G04700.1, exon 7 of 7)	-exon (AT5G04700.1, exon 7 of 7)	-2010	AT5G04690.1	AT5G04690	AT5G04690						NA
PLT3_MK_DAP_peak_1306	chr4	3729443	3729443	+	8.22823	NA	promoter-TSS (AT4G06614.1)	-promoter-TSS (AT4G06614.1)	-584	AT4G06614.1	AT4G06614	AT4G06614						NA
PLT3_MK_DAP_peak_863	chr3	4661495	4661495	+	8.22823	NA	promoter-TSS (AT3G14067.1)	-promoter-TSS (AT3G14067.1)	-711	AT3G14067.1	AT3G14067	AT3G14067						NA
PLT7_DAP_peak_269	chr2	16423059	16423059	+	8.22207	NA	promoter-TSS (AT2G39340.1)	-promoter-TSS (AT2G39340.1)	-580	AT2G39340.1	AT2G39340	AT2G39340						NA
PLT3_MK_DAP_peak_759	chr2	16317588	16317588	+	8.21826	NA	promoter-TSS (AT2G39090.1)	-promoter-TSS (AT2G39090.1)	150	AT2G39100.1	AT2G39100	AT2G39100						NA
PLT3_DAP_peak_255	chr3	13147721	13147721	+	8.21077	NA	exon (AT3G32164.1, exon 1 of 1)	-exon (AT3G32164.1, exon 1 of 1)	2281	AT3G32160.1	AT3G32160	AT3G32160						NA
35S_BBM_GFP_ChIP_peak_10925	chr3	12994633	12994633	+	8.20295	NA	promoter-TSS (AT3G32023.1)	-promoter-TSS (AT3G32023.1)	-198	AT3G32023.1	AT3G32023	AT3G32023						NA
35S_BBM_GFP_ChIP_peak_5745	chr2	2226124	2226124	+	8.20295	NA	Intergenic	Intergenic	-3478	AT2G05830.1	AT2G05830	AT2G05830						NA
35S_BBM_GFP_ChIP_peak_3071	chr1	18533304	18533304	+	8.20295	NA	exon (AT1G50030.1, exon 19 of 56)	-exon (AT1G50030.1, exon 19 of 56)	6691	AT1G50030.1	AT1G50030	AT1G50030						NA
PLT1_ampDAP_peak_3	chr1	2395619	2395619	+	8.20243	NA	exon (AT1G07725.1, exon 1 of 1)	-exon (AT1G07725.1, exon 1 of 1)	158	AT1G07728.1	AT1G07728	AT1G07728						NA
1_18976665_18976666	chr1	18976666	18976666	+	8.2	NA	promoter-TSS (AT1G51190.1)	-promoter-TSS (AT1G51190.1)	-618	AT1G51190.1	AT1G51190	AT1G51190						NA
35S_BBM_GFP_ChIP_peak_11017	chr3	15764332	15764332	+	8.19827	NA	TTS (AT3G43940.1)	-TTS (AT3G43940.1)	-1002	AT3G43930.1	AT3G43930	AT3G43930						NA
35S_BBM_GFP_ChIP_peak_4673	chr1	27412624	27412624	+	8.19213	NA	exon (AT1G72840.1, exon 3 of 5)	-exon (AT1G72840.1, exon 3 of 5)	1207	AT1G72840.1	AT1G72840	AT1G72840						NA
PLT1_DAP_peak_146	chr3	12272162	12272162	+	8.18034	NA	promoter-TSS (AT3G30705.1)	-promoter-TSS (AT3G30705.1)	-436	AT3G30705.1	AT3G30705	AT3G30705						NA
PLT7_DAP_peak_146	chr1	29408599	29408599	+	8.12334	NA	exon (AT1G78160.1, exon 1 of 5)	-exon (AT1G78160.1, exon 1 of 5)	699	AT1G78160.1	AT1G78160	AT1G78160						NA
PLT3_DAP_peak_484	chr5	20327513	20327513	+	8.1215	NA	exon (AT5G49960.1, exon 1 of 12)	-exon (AT5G49960.1, exon 1 of 12)	315	AT5G49960.1	AT5G49960	AT5G49960						NA
PLT3_MK_DAP_peak_1325	chr4	4413939	4413939	+	8.09766	NA	exon (AT4G07600.1, exon 1 of 1)	-exon (AT4G07600.1, exon 1 of 1)	-1120	AT4G07605.1	AT4G07605	AT4G07605						NA
PLT3_MK_DAP_peak_645	chr2	6907903	6907903	+	8.09766	NA	exon (AT2G15860.1, exon 4 of 9)	-exon (AT2G15860.1, exon 4 of 9)	1526	AT2G15860.1	AT2G15860	AT2G15860						NA
35S_BBM_GFP_ChIP_peak_14687	chr4	15192766	15192766	+	8.09012	NA	TTS (AT4G31310.1)	-TTS (AT4G31310.1)	1441	AT4G31310.1	AT4G31310	AT4G31310						NA
PLT7_DAP_peak_510	chr4	14333650	14333650	+	8.04394	NA	exon (AT4G29090.1, exon 1 of 1)	-exon (AT4G29090.1, exon 1 of 1)	122	AT4G29090.1	AT4G29090	AT4G29090						NA
35S_BBM_GFP_ChIP_peak_4021	chr1	24289345	24289345	+	8.03611	NA	TTS (AT1G65380.1)	-TTS (AT1G65380.1)	1679	AT1G65385.1	AT1G65385	AT1G65385						NA
PLT3_MK_DAP_peak_1664	chr5	7437282	7437282	+	8.00118	NA	promoter-TSS (AT5G22440.1)	-promoter-TSS (AT5G22440.1)	-596	AT5G22440.1	AT5G22440	AT5G22440						NA
PLT3_MK_DAP_peak_166	chr1	10526814	10526814	+	7.96128	NA	Intergenic	Intergenic	-5017	AT1G30030.1	AT1G30030	AT1G30030						NA
PLT3_MK_DAP_peak_1982	chr5	26041655	26041655	+	7.96128	NA	exon (AT5G65170.1, exon 1 of 1)	-exon (AT5G65170.1, exon 1 of 1)	481	AT5G65170.1	AT5G65170	AT5G65170						NA
PLT1_DAP_peak_217	chr4	12059349	12059349	+	7.94105	NA	TTS (AT4G23010.1)	-TTS (AT4G23010.1)	3408	AT4G23010.2	AT4G23010	AT4G23010						NA
PLT1_DAP_peak_216	chr4	11737445	11737445	+	7.94105	NA	exon (AT4G22170.1, exon 1 of 1)	-exon (AT4G22170.1, exon 1 of 1)	792	AT4G22170.1	AT4G22170	AT4G22170						NA
3_9058588_9058589	chr3	9058589	9058589	+	7.94	NA	TTS (AT3G24800.1)	-TTS (AT3G24800.1)	-2307	AT3G24810.1	AT3G24810	AT3G24810						NA
PLT7_DAP_peak_418	chr3	22888357	22888357	+	7.93301	NA	intron (AT3G61830.1, intron 1 of 12)	-intron (AT3G61830.1, intron 1 of 12)	468	AT3G61830.1	AT3G61830	AT3G61830						NA
35S_BBM_GFP_ChIP_peak_5870	chr2	5246025	5246025	+	7.88866	NA	promoter-TSS (AT2G12770.1)	-promoter-TSS (AT2G12770.1)	-992	AT2G12770.1	AT2G12770	AT2G12770						NA
35S_BBM_GFP_ChIP_peak_17731	chr5	14872756	14872756	+	7.87391	NA	Intergenic	Intergenic	-1603	AT5G37473.1	AT5G37473	AT5G37473						NA
PLT3_DAP_peak_214	chr2	19661055	19661055	+	7.8689	NA	exon (AT2G48060.1, exon 5 of 21)	-exon (AT2G48060.1, exon 5 of 21)	1562	AT2G48060.1	AT2G48060	AT2G48060						NA
PLT3_DAP_peak_476	chr5	18836361	18836361	+	7.8689	NA	exon (AT5G46450.1, exon 2 of 5)	-exon (AT5G46450.1, exon 2 of 5)	743	AT5G46450.1	AT5G46450	AT5G46450						NA
PLT3_MK_DAP_peak_1201	chr4	152904	152904	+	7.86162	NA	promoter-TSS (AT4G00342.1)	-promoter-TSS (AT4G00342.1)	985	AT4G00350.1	AT4G00350	AT4G00350						NA
PLT1_ampDAP_peak_89	chr3	21785499	21785499	+	7.84507	NA	intron (AT3G58950.1, intron 1 of 3)	-intron (AT3G58950.1, intron 1 of 3)	341	AT3G58950.1	AT3G58950	AT3G58950						NA
PLT1_ampDAP_peak_115	chr5	492809	492809	+	7.83875	NA	exon (AT5G02340.1, exon 1 of 1)	-exon (AT5G02340.1, exon 1 of 1)	1341	AT5G02340.1	AT5G02340	AT5G02340						NA
35S_BBM_GFP_ChIP_peak_16317	chr5	3557260	3557260	+	7.83308	NA	TTS (AT5G11170.1)	-TTS (AT5G11170.1)	3077	AT5G11170.2	AT5G11170	AT5G11170						NA
35S_BBM_GFP_ChIP_peak_19123	chr5	22581397	22581397	+	7.73622	NA	promoter-TSS (AT5G55790.1)	-promoter-TSS (AT5G55790.1)	-62	AT5G55790.1	AT5G55790	AT5G55790						NA
35S_BBM_GFP_ChIP_peak_17487	chr5	9912185	9912185	+	7.7348	NA	Intergenic	Intergenic	-1018	AT5G27900.1	AT5G27900	AT5G27900						NA
2_9810602_9810603	chr2	9810603	9810603	+	7.72	NA	promoter-TSS (AT2G23050.1)	-promoter-TSS (AT2G23050.1)	-54	AT2G23050.1	AT2G23050	AT2G23050						NA
PLT1_DAP_peak_208	chr4	7094987	7094987	+	7.71658	NA	exon (AT4G11800.1, exon 13 of 16)	-exon (AT4G11800.1, exon 13 of 16)	4634	AT4G11790.1	AT4G11790	AT4G11790						NA
PLT1_DAP_peak_159	chr3	14540720	14540720	+	7.71658	NA	Intergenic	Intergenic	-2660	AT3G42430.1	AT3G42430	AT3G42430						NA
PLT3_DAP_peak_336	chr4	3711469	3711469	+	7.70809	NA	exon (AT4G06609.1, exon 1 of 1)	-exon (AT4G06609.1, exon 1 of 1)	4673	AT4G06609.1	AT4G06609	AT4G06609						NA
35S_BBM_GFP_ChIP_peak_10776	chr3	11008432	11008432	+	7.66737	NA	TTS (AT3G29010.1)	-TTS (AT3G29010.1)	981	AT3G29020.1	AT3G29020	AT3G29020						NA
PLT3_MK_DAP_peak_874	chr3	5398250	5398250	+	7.60719	NA	exon (AT3G15950.1, exon 28 of 28)	-exon (AT3G15950.1, exon 28 of 28)	-1347	AT3G15940.2	AT3G15940	AT3G15940						NA
35S_BBM_GFP_ChIP_peak_10298	chr3	8328516	8328516	+	7.60546	NA	TTS (AT3G23290.2)	-TTS (AT3G23290.2)	1691	AT3G23290.2	AT3G23290	AT3G23290						NA
35S_BBM_GFP_ChIP_peak_11124	chr3	16550644	16550644	+	7.57908	NA	promoter-TSS (AT3G45200.1)	-promoter-TSS (AT3G45200.1)	-914	AT3G45200.1	AT3G45200	AT3G45200						NA
35S_BBM_GFP_ChIP_peak_10952	chr3	14472337	14472337	+	7.57908	NA	Intergenic	Intergenic	-1630	AT3G42316.1	AT3G42316	AT3G42316						NA
2_11080408_11080409	chr2	11080409	11080409	+	7.57	NA	promoter-TSS (AT2G25980.1)	-promoter-TSS (AT2G25980.1)	-177	AT2G25990.1	AT2G25990	AT2G25990						NA
